,t,x,v_boat,alpha,omega,R,d,h,N_paddles,rho,C_paddle,C_front,m,A_front,v_water,dt,f_paddles,f_body_drag,a
0,0.0,0.0,0.0,0.0,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.03816988933062605,0.0,0.019084944665313026
1,0.01,1.9084944665313028e-06,0.00019084944665313027,0.01,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.038010301318436614,-1.8543824514887182e-07,0.019005057940095733
2,0.02,5.717494727072178e-06,0.0003809000260540876,0.02,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.03783756718677889,-7.386513626363017e-07,0.018918414267708128
3,0.03,1.1418336414383867e-05,0.0005700841687311689,0.03,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.03765176684212327,-1.6546092967927515e-06,0.01882505611641324
4,0.04,1.900168371333688e-05,0.0007583347298953014,0.04,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.037452950582807835,-2.92778641121415e-06,0.01872501139819831
5,0.05,2.8457532152109723e-05,0.0009455848438772844,0.05,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.03724113862715647,-4.552170329482842e-06,0.018618293228413494
6,0.060000000000000005,3.977520991372391e-05,0.0011317677761614193,0.060000000000000005,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.037016320447254475,-6.521269488080261e-06,0.018504899588883197
7,0.07,5.2943377634226425e-05,0.0013168167720502514,0.07,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.036778453900952586,-8.828119382019228e-06,0.018384812890785283
8,0.08,6.795002664380747e-05,0.0015006649009581042,0.08,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.03652746415217647,-1.1465287475081455e-05,0.018257999432350694
9,0.09,8.478247559662358e-05,0.0016832448952816112,0.09,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.036263242366942415,-1.4424876737646171e-05,0.018124408745102384
10,0.09999999999999999,0.00010342736542394993,0.001864488982732635,0.09999999999999999,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.035985644169563624,-1.769852776582444e-05,0.0179839728208989
11,0.10999999999999999,0.00012387065253336617,0.002044328710941624,0.10999999999999999,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.03569448784032247,-2.127741942584978e-05,0.01783660521044831
12,0.11999999999999998,0.00014609760016382725,0.002222694763046107,0.11999999999999998,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.03538955223231064,-2.5152267957290453e-05,0.017682199982176676
13,0.12999999999999998,0.000170092767792506,0.002399516762867874,0.12999999999999998,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.03507057438112941,-2.9313324457503157e-05,0.017520630528335954
14,0.13999999999999999,0.00019583999847401834,0.0025747230681512335,0.13999999999999999,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.03473724677660456,-3.375037065769015e-05,0.017351748202973433
15,0.15,0.00022332240397582802,0.002748240550180968,0.15,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.034389214260502454,-3.845271288778504e-05,0.017175380773807335
16,0.16,0.00025252234755501844,0.002919994357919041,0.16,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.03402607050831262,-4.3409174112992155e-05,0.016991330667099815
17,0.17,0.0002834214242009188,0.0030899076645900395,0.17,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.03364735404634262,-4.860808390893398e-05,0.016799372981216844
18,0.18000000000000002,0.0003160004381449409,0.003257901394402208,0.18000000000000002,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.03325254374747947,-5.403726622479026e-05,0.01659925324062734
19,0.19000000000000003,0.0003502393774130257,0.0034238939268084814,0.19000000000000003,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.03284105373980273,-5.968402476428151e-05,0.016390684857519225
20,0.20000000000000004,0.00038611738516686244,0.003587800775383674,0.20000000000000004,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.03241222765153551,-6.553512579256614e-05,0.01617334626287147
21,0.21000000000000005,0.00042361272754698633,0.0037495342380123886,0.21000000000000005,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.03196533210329417,-7.157677815275379e-05,0.01594687766257071
22,0.22000000000000006,0.0004627027576933673,0.003909003014638096,0.22000000000000006,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.03149954934387564,-7.779461024841478e-05,0.015710877366813612
23,0.23000000000000007,0.0005033638755764297,0.004066111788306232,0.23000000000000007,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.031013968908465205,-8.417364371776207e-05,0.015464897632373721
24,0.24000000000000007,0.0005455714832227293,0.004220760764629969,0.24000000000000007,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.030507578157610377,-9.06982634906214e-05,0.015208439947059877
25,0.25000000000000006,0.000589299934863735,0.004372845164100568,0.25000000000000006,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.02997925153092832,-9.735218388034449e-05,0.014940949673523989
26,0.26000000000000006,0.0006345224814720931,0.004522254660835809,0.26000000000000006,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.029427738320476557,-0.00010411841031885213,0.014661809955078852
27,0.2700000000000001,0.000681211209075959,0.0046688727603865976,0.2700000000000001,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.02929335282732199,-0.00011097919629333098,0.01459118681551433
28,0.2800000000000001,0.0007293590553613765,0.004814784628541741,0.2800000000000001,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.02924885499958095,-0.00011802424455501416,0.014565415377512969
29,0.2900000000000001,0.0007789634431845452,0.004960438782316871,0.2900000000000001,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.029199047033268363,-0.00012527306036941792,0.014536886986449473
30,0.3000000000000001,0.0008300215197063588,0.005105807652181366,0.3000000000000001,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.02914405099526836,-0.00013272306377034416,0.014505663965749007
31,0.3100000000000001,0.0008825301626247474,0.005250864291838856,0.3100000000000001,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.029083985503452668,-0.0001403715472140599,0.014471806978119305
32,0.3200000000000001,0.0009364859862409479,0.005395582361620049,0.3200000000000001,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.029018965719899932,-0.00014821568009830942,0.01443537501990081
33,0.3300000000000001,0.0009918853473591385,0.005539936111819057,0.3300000000000001,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.02894910333735025,-0.00015625251317422074,0.014396425412088014
34,0.34000000000000014,0.0010487243510185378,0.005683900365939938,0.34000000000000014,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.028874506559302755,-0.00016447898284413672,0.01435501378822931
35,0.35000000000000014,0.00110699885605676,0.005827450503822231,0.35000000000000014,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.028795280074109496,-0.00017289191533851125,0.014311194079385492
36,0.36000000000000015,0.001166704480502921,0.005970562444616086,0.36000000000000015,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.028711525023367403,-0.00018148803076512842,0.014265018496301138
37,0.37000000000000016,0.001227836606798712,0.006113212629579097,0.37000000000000016,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.028623338964860353,-0.00019026394702401965,0.014216537508918166
38,0.38000000000000017,0.0012903903868453947,0.006255378004668279,0.38000000000000017,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.02853081583025658,-0.0001992161835815733,0.014165799823337504
39,0.3900000000000002,0.0013543607468744113,0.006397036002901654,0.3900000000000002,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.02843404587772044,-0.00020834116509744693,0.014112852356311496
